keycode-no	Store-No	Date	Dept-No	Qty-Sold	Sale-Price
69684558	20	40118	280	1	19.00
69684558	20	40118	280	-1	-19.00
69684558	20	40118	280	1	5.01
69694158	20	40118	280	1	19.00
69694158	20	40118	280	-1	-19.00
69694158	20	40118	280	1	5.01
63604808	20	40118	170	1	4.87
62684671	20	40118	685	1	69.99
62684671	20	40118	685	-1	-69.99
64634429	20	40118	957	1	3.99
66624458	20	40118	957	1	0.89
63674861	20	40118	957	10	2.70
65674532	20	40118	929	1	3.59
64614401	59	40118	957	1	1.99
64614401	59	40118	957	1	1.99
61664713	59	40118	335	1	17.99
61664713	59	40118	335	-1	-17.99
68634752	59	40118	410	1	8.99
60614487	59	40118	878	1	5.95
63644339	59	40118	878	1	12.65
60694698	59	40118	620	1	3.99
60664659	59	40118	620	1	3.99
62684217	59	40118	957	1	9.99
67674686	59	40118	929	1	3.99
61684613	59	40118	335	1	12.99
64624770	59	40118	957	1	2.59
69694814	166	40118	360	1	2.50
69694814	166	40118	360	1	2.50
69644164	166	40118	193	1	21.59
62684907	166	40118	375	1	13.99
62694193	166	40118	375	1	13.99
62694193	166	40118	375	-1	-13.99
